Định nghĩa,Điều – khoản tương ứng,Nội dung chi tiết,Keyphrase
1. Người lao động là công dân Việt Nam thuộc đối tượng tham gia bảo hiểm xã hội bắt buộc,khoản i mục 1 Điều 2 luật Bảo hiểm xã hội số 58/2014/QH13  ngày 20 tháng 11 năm 2014,"i) Người hoạt động không chuyên trách ở xã, phường, thị trấn.","nguoi lao dong, cong dan viet nam, doi tuong, tham gia, bao hiem xa hoi bat buoc"
Đối tượng áp dụng, mục 2 Điều 2 luật Bảo hiểm xã hội số 58/2014/QH13  ngày 20 tháng 11 năm 2014,2. Người lao động là công dân nước ngoài vào làm việc tại Việt Nam có giấy phép lao động hoặc chứng chỉ hành nghề hoặc giấy phép hành nghề do cơ quan có thẩm quyền của Việt Nam cấp được tham gia bảo hiểm xã hội bắt buộc theo quy định của Chính phủ.,"bao hiem xa hoi, doi tuong ap dung"
Đối tượng áp dụng, mục 3 Điều 2 luật Bảo hiểm xã hội số 58/2014/QH13  ngày 20 tháng 11 năm 2014,"3. Người sử dụng lao động tham gia bảo hiểm xã hội bắt buộc bao gồm cơ quan nhà nước, đơn vị sự nghiệp, đơn vị vũ trang nhân dân; tổ chức chính trị, tổ chức chính trị - xã hội, tổ chức chính trị xã hội - nghề nghiệp, tổ chức xã hội - nghề nghiệp, tổ chức xã hội khác; cơ quan, tổ chức nước ngoài, tổ chức quốc tế hoạt động trên lãnh thổ Việt Nam; doanh nghiệp, hợp tác xã, hộ kinh doanh cá thể, tổ hợp tác, tổ chức khác và cá nhân có thuê mướn, sử dụng lao động theo hợp đồng lao động.","bao hiem xa hoi, doi tuong ap dung"
Đối tượng áp dụng, mục 4 Điều 2 luật Bảo hiểm xã hội số 58/2014/QH13  ngày 20 tháng 11 năm 2014,4. Người tham gia bảo hiểm xã hội tự nguyện là công dân Việt Nam từ đủ 15 tuổi trở lên và không thuộc đối tượng quy định tại khoản 1 Điều này.,"bao hiem xa hoi, doi tuong ap dung"
Đối tượng áp dụng, mục 5 Điều 2 luật Bảo hiểm xã hội số 58/2014/QH13  ngày 20 tháng 11 năm 2014,"5. Cơ quan, tổ chức, cá nhân có liên quan đến bảo hiểm xã hội.","bao hiem xa hoi, doi tuong ap dung"
Đối tượng áp dụng, mục 5 Điều 2 luật Bảo hiểm xã hội số 58/2014/QH13  ngày 20 tháng 11 năm 2014,"Các đối tượng quy định tại các khoản 1, 2 và 4 Điều này sau đây gọi chung là người lao động.","bao hiem xa hoi, doi tuong ap dung"
Giải thích từ ngữ, Điều 3 luật Bảo hiểm xã hội số 58/2014/QH13  ngày 20 tháng 11 năm 2014,"Trong Luật này, các từ ngữ dưới đây được hiểu như sau:","bao hiem xa hoi, giai thich tu ngu"
Giải thích từ ngữ, mục 1 Điều 3 luật Bảo hiểm xã hội số 58/2014/QH13  ngày 20 tháng 11 năm 2014,"1. Bảo hiểm xã hội là sự bảo đảm thay thế hoặc bù đắp một phần thu nhập của người lao động khi họ bị giảm hoặc mất thu nhập do ốm đau, thai sản, tai nạn lao động, bệnh nghề nghiệp, hết tuổi lao động hoặc chết, trên cơ sở đóng vào quỹ bảo hiểm xã hội.","bao hiem xa hoi, giai thich tu ngu"
Giải thích từ ngữ, mục 2 Điều 3 luật Bảo hiểm xã hội số 58/2014/QH13  ngày 20 tháng 11 năm 2014,2. Bảo hiểm xã hội bắt buộc là loại hình bảo hiểm xã hội do Nhà nước tổ chức mà người lao động và người sử dụng lao động phải tham gia.,"bao hiem xa hoi, giai thich tu ngu"
Giải thích từ ngữ, mục 3 Điều 3 luật Bảo hiểm xã hội số 58/2014/QH13  ngày 20 tháng 11 năm 2014,"3. Bảo hiểm xã hội tự nguyện là loại hình bảo hiểm xã hội do Nhà nước tổ chức mà người tham gia được lựa chọn mức đóng, phương thức đóng phù hợp với thu nhập của mình và Nhà nước có chính sách hỗ trợ tiền đóng bảo hiểm xã hội để người tham gia hưởng chế độ hưu trí và tử tuất.","bao hiem xa hoi, giai thich tu ngu"
Giải thích từ ngữ, mục 4 Điều 3 luật Bảo hiểm xã hội số 58/2014/QH13  ngày 20 tháng 11 năm 2014,"4. Quỹ bảo hiểm xã hội là quỹ tài chính độc lập với ngân sách nhà nước, được hình thành từ đóng góp của người lao động, người sử dụng lao động và có sự hỗ trợ của Nhà nước.","bao hiem xa hoi, giai thich tu ngu"
Giải thích từ ngữ, mục 5 Điều 3 luật Bảo hiểm xã hội số 58/2014/QH13  ngày 20 tháng 11 năm 2014,5. Thời gian đóng bảo hiểm xã hội là thời gian được tính từ khi người lao động bắt đầu đóng bảo hiểm xã hội cho đến khi dừng đóng. Trường hợp người lao động đóng bảo hiểm xã hội không liên tục thì thời gian đóng bảo hiểm xã hội là tổng thời gian đã đóng bảo hiểm xã hội.,"bao hiem xa hoi, giai thich tu ngu"
Giải thích từ ngữ, mục 6 Điều 3 luật Bảo hiểm xã hội số 58/2014/QH13  ngày 20 tháng 11 năm 2014,"6. Thân nhân là con đẻ, con nuôi, vợ hoặc chồng, cha đẻ, mẹ đẻ, cha nuôi, mẹ nuôi, cha vợ hoặc cha chồng, mẹ vợ hoặc mẹ chồng của người tham gia bảo hiểm xã hội hoặc thành viên khác trong gia đình mà người tham gia bảo hiểm xã hội đang có nghĩa vụ nuôi dưỡng theo quy định của pháp luật về hôn nhân và gia đình.","bao hiem xa hoi, giai thich tu ngu"
Giải thích từ ngữ, mục 7 Điều 3 luật Bảo hiểm xã hội số 58/2014/QH13  ngày 20 tháng 11 năm 2014,"7. Bảo hiểm hưu trí bổ sung là chính sách bảo hiểm xã hội mang tính chất tự nguyện nhằm mục tiêu bổ sung cho chế độ hưu trí trong bảo hiểm xã hội bắt buộc, có cơ chế tạo lập quỹ từ sự đóng góp của người lao động và người sử dụng lao động dưới hình thức tài khoản tiết kiệm cá nhân, được bảo toàn và tích lũy thông qua hoạt động đầu tư theo quy định của pháp luật.","bao hiem xa hoi, giai thich tu ngu"
Các chế độ bảo hiểm xã hội, mục 1 Điều 4 luật Bảo hiểm xã hội số 58/2014/QH13  ngày 20 tháng 11 năm 2014,1. Bảo hiểm xã hội bắt buộc có các chế độ sau đây:,"bao hiem xa hoi, cac che do"
1. Bảo hiểm xã hội bắt buộc có các chế độ sau đây:,khoản a mục 1 Điều 4 luật Bảo hiểm xã hội số 58/2014/QH13  ngày 20 tháng 11 năm 2014,a) Ốm đau;,"bao hiem xa hoi bat buoc, che do"
1. Bảo hiểm xã hội bắt buộc có các chế độ sau đây:,khoản b mục 1 Điều 4 luật Bảo hiểm xã hội số 58/2014/QH13  ngày 20 tháng 11 năm 2014,b) Thai sản;,"bao hiem xa hoi bat buoc, che do"
1. Bảo hiểm xã hội bắt buộc có các chế độ sau đây:,khoản c mục 1 Điều 4 luật Bảo hiểm xã hội số 58/2014/QH13  ngày 20 tháng 11 năm 2014,"c) Tai nạn lao động, bệnh nghề nghiệp;","bao hiem xa hoi bat buoc, che do"
1. Bảo hiểm xã hội bắt buộc có các chế độ sau đây:,khoản d mục 1 Điều 4 luật Bảo hiểm xã hội số 58/2014/QH13  ngày 20 tháng 11 năm 2014,d) Hưu trí;,"bao hiem xa hoi bat buoc, che do"
1. Bảo hiểm xã hội bắt buộc có các chế độ sau đây:,khoản đ mục 1 Điều 4 luật Bảo hiểm xã hội số 58/2014/QH13  ngày 20 tháng 11 năm 2014,đ) Tử tuất.,"bao hiem xa hoi bat buoc, che do"
Các chế độ bảo hiểm xã hội, mục 2 Điều 4 luật Bảo hiểm xã hội số 58/2014/QH13  ngày 20 tháng 11 năm 2014,2. Bảo hiểm xã hội tự nguyện có các chế độ sau đây:,"bao hiem xa hoi bat buoc, che do"
2. Bảo hiểm xã hội tự nguyện có các chế độ sau đây:,khoản a mục 2 Điều 4 luật Bảo hiểm xã hội số 58/2014/QH13  ngày 20 tháng 11 năm 2014,a) Hưu trí;,"bao hiem xa hoi bat buoc, che do"
2. Bảo hiểm xã hội tự nguyện có các chế độ sau đây:,khoản b mục 2 Điều 4 luật Bảo hiểm xã hội số 58/2014/QH13  ngày 20 tháng 11 năm 2014,b) Tử tuất.,"bao hiem xa hoi bat buoc, che do"
Các chế độ bảo hiểm xã hội, mục 3 Điều 4 luật Bảo hiểm xã hội số 58/2014/QH13  ngày 20 tháng 11 năm 2014,3. Bảo hiểm hưu trí bổ sung do Chính phủ quy định.,"bao hiem xa hoi, cac che do"
Nguyên tắc bảo hiểm xã hội, mục 1 Điều 5 luật Bảo hiểm xã hội số 58/2014/QH13  ngày 20 tháng 11 năm 2014,"1. Mức hưởng bảo hiểm xã hội được tính trên cơ sở mức đóng, thời gian đóng bảo hiểm xã hội và có chia sẻ giữa những người tham gia bảo hiểm xã hội.","bao hiem xa hoi, nguyen tac"
Nguyên tắc bảo hiểm xã hội, mục 2 Điều 5 luật Bảo hiểm xã hội số 58/2014/QH13  ngày 20 tháng 11 năm 2014,2. Mức đóng bảo hiểm xã hội bắt buộc được tính trên cơ sở tiền lương tháng của người lao động. Mức đóng bảo hiểm xã hội tự nguyện được tính trên cơ sở mức thu nhập tháng do người lao động lựa chọn.,"bao hiem xa hoi, nguyen tac"
Nguyên tắc bảo hiểm xã hội, mục 3 Điều 5 luật Bảo hiểm xã hội số 58/2014/QH13  ngày 20 tháng 11 năm 2014,3. Người lao động vừa có thời gian đóng bảo hiểm xã hội bắt buộc vừa có thời gian đóng bảo hiểm xã hội tự nguyện được hưởng chế độ hưu trí và chế độ tử tuất trên cơ sở thời gian đã đóng bảo hiểm xã hội. Thời gian đóng bảo hiểm xã hội đã được tính hưởng bảo hiểm xã hội một lần thì không tính vào thời gian làm cơ sở tính hưởng các chế độ bảo hiểm xã hội.,"bao hiem xa hoi, nguyen tac"
Nguyên tắc bảo hiểm xã hội, mục 4 Điều 5 luật Bảo hiểm xã hội số 58/2014/QH13  ngày 20 tháng 11 năm 2014,"4. Quỹ bảo hiểm xã hội được quản lý tập trung, thống nhất, công khai, minh bạch; được sử dụng đúng mục đích và được hạch toán độc lập theo các quỹ thành phần, các nhóm đối tượng thực hiện chế độ tiền lương do Nhà nước quy định và chế độ tiền lương do người sử dụng lao động quyết định.","bao hiem xa hoi, nguyen tac"
Nguyên tắc bảo hiểm xã hội, mục 5 Điều 5 luật Bảo hiểm xã hội số 58/2014/QH13  ngày 20 tháng 11 năm 2014,"5. Việc thực hiện bảo hiểm xã hội phải đơn giản, dễ dàng, thuận tiện, bảo đảm kịp thời và đầy đủ quyền lợi của người tham gia bảo hiểm xã hội.","bao hiem xa hoi, nguyen tac"
Chính sách của Nhà nước đối với bảo hiểm xã hội, mục 1 Điều 6 luật Bảo hiểm xã hội số 58/2014/QH13  ngày 20 tháng 11 năm 2014,"1. Khuyến khích, tạo điều kiện để cơ quan, tổ chức, cá nhân tham gia bảo hiểm xã hội.","bao hiem xa hoi, chinh sach cua nha nuoc"
Chính sách của Nhà nước đối với bảo hiểm xã hội, mục 2 Điều 6 luật Bảo hiểm xã hội số 58/2014/QH13  ngày 20 tháng 11 năm 2014,2. Hỗ trợ người tham gia bảo hiểm xã hội tự nguyện.,"bao hiem xa hoi, chinh sach cua nha nuoc"
Chính sách của Nhà nước đối với bảo hiểm xã hội, mục 3 Điều 6 luật Bảo hiểm xã hội số 58/2014/QH13  ngày 20 tháng 11 năm 2014,"3. Bảo hộ quỹ bảo hiểm xã hội và có biện pháp bảo toàn, tăng trưởng quỹ.","bao hiem xa hoi, chinh sach cua nha nuoc"
Chính sách của Nhà nước đối với bảo hiểm xã hội, mục 4 Điều 6 luật Bảo hiểm xã hội số 58/2014/QH13  ngày 20 tháng 11 năm 2014,4. Khuyến khích người sử dụng lao động và người lao động tham gia bảo hiểm hưu trí bổ sung.,"bao hiem xa hoi, chinh sach cua nha nuoc"
Chính sách của Nhà nước đối với bảo hiểm xã hội, mục 5 Điều 6 luật Bảo hiểm xã hội số 58/2014/QH13  ngày 20 tháng 11 năm 2014,5. Ưu tiên đầu tư phát triển công nghệ thông tin trong quản lý bảo hiểm xã hội.,"bao hiem xa hoi, chinh sach cua nha nuoc"
Nội dung quản lý nhà nước về bảo hiểm xã hội, mục 1 Điều 7 luật Bảo hiểm xã hội số 58/2014/QH13  ngày 20 tháng 11 năm 2014,"1. Ban hành, tổ chức thực hiện văn bản pháp luật, chiến lược, chính sách bảo hiểm xã hội.","bao hiem xa hoi, noi dung quan ly nha nuoc"
Nội dung quản lý nhà nước về bảo hiểm xã hội, mục 2 Điều 7 luật Bảo hiểm xã hội số 58/2014/QH13  ngày 20 tháng 11 năm 2014,"2. Tuyên truyền, phổ biến chính sách, pháp luật về bảo hiểm xã hội.","bao hiem xa hoi, noi dung quan ly nha nuoc"
Nội dung quản lý nhà nước về bảo hiểm xã hội, mục 3 Điều 7 luật Bảo hiểm xã hội số 58/2014/QH13  ngày 20 tháng 11 năm 2014,"3. Thực hiện công tác thống kê, thông tin về bảo hiểm xã hội.","bao hiem xa hoi, noi dung quan ly nha nuoc"
Nội dung quản lý nhà nước về bảo hiểm xã hội, mục 4 Điều 7 luật Bảo hiểm xã hội số 58/2014/QH13  ngày 20 tháng 11 năm 2014,"4. Tổ chức bộ máy thực hiện bảo hiểm xã hội; đào tạo, tập huấn nguồn nhân lực làm công tác bảo hiểm xã hội.","bao hiem xa hoi, noi dung quan ly nha nuoc"
Nội dung quản lý nhà nước về bảo hiểm xã hội, mục 5 Điều 7 luật Bảo hiểm xã hội số 58/2014/QH13  ngày 20 tháng 11 năm 2014,"5. Quản lý về thu, chi, bảo toàn, phát triển và cân đối quỹ bảo hiểm xã hội.","bao hiem xa hoi, noi dung quan ly nha nuoc"
Nội dung quản lý nhà nước về bảo hiểm xã hội, mục 6 Điều 7 luật Bảo hiểm xã hội số 58/2014/QH13  ngày 20 tháng 11 năm 2014,"6. Thanh tra, kiểm tra việc chấp hành pháp luật về bảo hiểm xã hội; giải quyết khiếu nại, tố cáo và xử lý vi phạm pháp luật về bảo hiểm xã hội.","bao hiem xa hoi, noi dung quan ly nha nuoc"
Nội dung quản lý nhà nước về bảo hiểm xã hội, mục 7 Điều 7 luật Bảo hiểm xã hội số 58/2014/QH13  ngày 20 tháng 11 năm 2014,7. Hợp tác quốc tế về bảo hiểm xã hội.,"bao hiem xa hoi, noi dung quan ly nha nuoc"
Cơ quan quản lý nhà nước về bảo hiểm xã hội, mục 1 Điều 8 luật Bảo hiểm xã hội số 58/2014/QH13  ngày 20 tháng 11 năm 2014,1. Chính phủ thống nhất quản lý nhà nước về bảo hiểm xã hội.,"bao hiem xa hoi, co quan quan ly nha nuoc"
Cơ quan quản lý nhà nước về bảo hiểm xã hội, mục 2 Điều 8 luật Bảo hiểm xã hội số 58/2014/QH13  ngày 20 tháng 11 năm 2014,2. Bộ Lao động - Thương binh và Xã hội chịu trách nhiệm trước Chính phủ thực hiện quản lý nhà nước về bảo hiểm xã hội.,"bao hiem xa hoi, co quan quan ly nha nuoc"
Cơ quan quản lý nhà nước về bảo hiểm xã hội, mục 3 Điều 8 luật Bảo hiểm xã hội số 58/2014/QH13  ngày 20 tháng 11 năm 2014,"3. Bộ, cơ quan ngang bộ trong phạm vi nhiệm vụ, quyền hạn của mình thực hiện quản lý nhà nước về bảo hiểm xã hội.","bao hiem xa hoi, co quan quan ly nha nuoc"
Cơ quan quản lý nhà nước về bảo hiểm xã hội, mục 4 Điều 8 luật Bảo hiểm xã hội số 58/2014/QH13  ngày 20 tháng 11 năm 2014,"4. Bảo hiểm xã hội Việt Nam tham gia, phối hợp với Bộ Lao động - Thương binh và Xã hội, Bộ Tài chính, Ủy ban nhân dân tỉnh, thành phố trực thuộc trung ương (sau đây gọi chung là cấp tỉnh) thực hiện quản lý về thu, chi, bảo toàn, phát triển và cân đối quỹ bảo hiểm xã hội.","bao hiem xa hoi, co quan quan ly nha nuoc"
Cơ quan quản lý nhà nước về bảo hiểm xã hội, mục 5 Điều 8 luật Bảo hiểm xã hội số 58/2014/QH13  ngày 20 tháng 11 năm 2014,5. Ủy ban nhân dân các cấp thực hiện quản lý nhà nước về bảo hiểm xã hội trong phạm vi địa phương theo phân cấp của Chính phủ.,"bao hiem xa hoi, co quan quan ly nha nuoc"
Hiện đại hóa quản lý bảo hiểm xã hội, mục 1 Điều 9 luật Bảo hiểm xã hội số 58/2014/QH13  ngày 20 tháng 11 năm 2014,"1. Nhà nước khuyến khích đầu tư phát triển công nghệ và phương tiện kỹ thuật tiên tiến để quản lý, thực hiện bảo hiểm xã hội.","bao hiem xa hoi, hien dai hoa quan ly"
Hiện đại hóa quản lý bảo hiểm xã hội, mục 2 Điều 9 luật Bảo hiểm xã hội số 58/2014/QH13  ngày 20 tháng 11 năm 2014,"2. Đến năm 2020, hoàn thành việc xây dựng và vận hành cơ sở dữ liệu điện tử về quản lý bảo hiểm xã hội trong phạm vi cả nước.","bao hiem xa hoi, hien dai hoa quan ly"
Trách nhiệm của Bộ trưởng Bộ Lao động - Thương binh và Xã hội về bảo hiểm xã hội, mục 1 Điều 10 luật Bảo hiểm xã hội số 58/2014/QH13  ngày 20 tháng 11 năm 2014,"1. Xây dựng chiến lược, quy hoạch, kế hoạch phát triển bảo hiểm xã hội.","bao hiem xa hoi, trach nhiem, bo truong bo lao dong - thuong binh va xa hoi"
Trách nhiệm của Bộ trưởng Bộ Lao động - Thương binh và Xã hội về bảo hiểm xã hội, mục 2 Điều 10 luật Bảo hiểm xã hội số 58/2014/QH13  ngày 20 tháng 11 năm 2014,"2. Xây dựng chính sách, pháp luật về bảo hiểm xã hội; trình cơ quan nhà nước có thẩm quyền ban hành hoặc ban hành theo thẩm quyền văn bản pháp luật về bảo hiểm xã hội.","bao hiem xa hoi, trach nhiem, bo truong bo lao dong - thuong binh va xa hoi"
Trách nhiệm của Bộ trưởng Bộ Lao động - Thương binh và Xã hội về bảo hiểm xã hội, mục 3 Điều 10 luật Bảo hiểm xã hội số 58/2014/QH13  ngày 20 tháng 11 năm 2014,3. Xây dựng và trình Chính phủ chỉ tiêu phát triển đối tượng tham gia bảo hiểm xã hội.,"bao hiem xa hoi, trach nhiem, bo truong bo lao dong - thuong binh va xa hoi"
Trách nhiệm của Bộ trưởng Bộ Lao động - Thương binh và Xã hội về bảo hiểm xã hội, mục 4 Điều 10 luật Bảo hiểm xã hội số 58/2014/QH13  ngày 20 tháng 11 năm 2014,"4. Tuyên truyền, phổ biến chính sách, pháp luật về bảo hiểm xã hội.","bao hiem xa hoi, trach nhiem, bo truong bo lao dong - thuong binh va xa hoi"
Trách nhiệm của Bộ trưởng Bộ Lao động - Thương binh và Xã hội về bảo hiểm xã hội, mục 5 Điều 10 luật Bảo hiểm xã hội số 58/2014/QH13  ngày 20 tháng 11 năm 2014,"5. Chỉ đạo, hướng dẫn tổ chức triển khai thực hiện chính sách, pháp luật về bảo hiểm xã hội.","bao hiem xa hoi, trach nhiem, bo truong bo lao dong - thuong binh va xa hoi"
Trách nhiệm của Bộ trưởng Bộ Lao động - Thương binh và Xã hội về bảo hiểm xã hội, mục 6 Điều 10 luật Bảo hiểm xã hội số 58/2014/QH13  ngày 20 tháng 11 năm 2014,"6. Thanh tra, kiểm tra, xử lý vi phạm pháp luật, giải quyết khiếu nại, tố cáo về bảo hiểm xã hội, trừ quy định tại khoản 2 Điều 11 của Luật này.","bao hiem xa hoi, trach nhiem, bo truong bo lao dong - thuong binh va xa hoi"
Trách nhiệm của Bộ trưởng Bộ Lao động - Thương binh và Xã hội về bảo hiểm xã hội, mục 7 Điều 10 luật Bảo hiểm xã hội số 58/2014/QH13  ngày 20 tháng 11 năm 2014,"7. Trình Chính phủ quyết định biện pháp xử lý trong trường hợp cần thiết để bảo vệ quyền, lợi ích chính đáng về bảo hiểm xã hội của người lao động.","bao hiem xa hoi, trach nhiem, bo truong bo lao dong - thuong binh va xa hoi"
Trách nhiệm của Bộ trưởng Bộ Lao động - Thương binh và Xã hội về bảo hiểm xã hội, mục 8 Điều 10 luật Bảo hiểm xã hội số 58/2014/QH13  ngày 20 tháng 11 năm 2014,"8. Thực hiện công tác thống kê, thông tin về bảo hiểm xã hội.","bao hiem xa hoi, trach nhiem, bo truong bo lao dong - thuong binh va xa hoi"
Trách nhiệm của Bộ trưởng Bộ Lao động - Thương binh và Xã hội về bảo hiểm xã hội, mục 9 Điều 10 luật Bảo hiểm xã hội số 58/2014/QH13  ngày 20 tháng 11 năm 2014,"9. Tổ chức tập huấn, đào tạo về bảo hiểm xã hội.","bao hiem xa hoi, trach nhiem, bo truong bo lao dong - thuong binh va xa hoi"
Trách nhiệm của Bộ trưởng Bộ Lao động - Thương binh và Xã hội về bảo hiểm xã hội, mục 1 Điều 10 luật Bảo hiểm xã hội số 58/2014/QH13  ngày 20 tháng 11 năm 2014,10. Tổ chức nghiên cứu khoa học và hợp tác quốc tế về bảo hiểm xã hội.,"bao hiem xa hoi, trach nhiem, bo truong bo lao dong - thuong binh va xa hoi"
Trách nhiệm của Bộ trưởng Bộ Lao động - Thương binh và Xã hội về bảo hiểm xã hội, mục 1 Điều 10 luật Bảo hiểm xã hội số 58/2014/QH13  ngày 20 tháng 11 năm 2014,"11. Hằng năm, báo cáo Chính phủ về tình hình thực hiện bảo hiểm xã hội.","bao hiem xa hoi, trach nhiem, bo truong bo lao dong - thuong binh va xa hoi"
Trách nhiệm của Bộ trưởng Bộ Tài chính về bảo hiểm xã hội, mục 1 Điều 11 luật Bảo hiểm xã hội số 58/2014/QH13  ngày 20 tháng 11 năm 2014,1. Xây dựng và trình cơ quan nhà nước có thẩm quyền ban hành hoặc ban hành theo thẩm quyền cơ chế quản lý tài chính về bảo hiểm xã hội; chi phí quản lý bảo hiểm xã hội.,"bao hiem xa hoi, trach nhiem, bo truong bo tai chinh"
Trách nhiệm của Bộ trưởng Bộ Tài chính về bảo hiểm xã hội, mục 2 Điều 11 luật Bảo hiểm xã hội số 58/2014/QH13  ngày 20 tháng 11 năm 2014,"2. Thanh tra, kiểm tra, xử lý vi phạm pháp luật và giải quyết khiếu nại, tố cáo việc thực hiện quản lý tài chính về bảo hiểm xã hội.","bao hiem xa hoi, trach nhiem, bo truong bo tai chinh"
Trách nhiệm của Bộ trưởng Bộ Tài chính về bảo hiểm xã hội, mục 3 Điều 11 luật Bảo hiểm xã hội số 58/2014/QH13  ngày 20 tháng 11 năm 2014,"3. Hằng năm, gửi báo cáo về tình hình quản lý và sử dụng các quỹ bảo hiểm xã hội cho Bộ trưởng Bộ Lao động - Thương binh và Xã hội để tổng hợp và báo cáo Chính phủ.","bao hiem xa hoi, trach nhiem, bo truong bo tai chinh"
Trách nhiệm của Ủy ban nhân dân các cấp về bảo hiểm xã hội, mục 1 Điều 12 luật Bảo hiểm xã hội số 58/2014/QH13  ngày 20 tháng 11 năm 2014,"1. Chỉ đạo, tổ chức thực hiện chính sách, pháp luật về bảo hiểm xã hội.","bao hiem xa hoi, trach nhiem cua uy ban nhan dan cac cap"
